,x,y,time,theta
42.0,5.5,857.0,2.8793246746063232,0.3312067225485357
43.0,5.5,857.0,2.9092495441436768,0.3312067225485357
44.0,5.5,912.0,2.996147871017456,0.3688418615620895
45.0,5.5,912.0,3.0370349884033203,0.3688418615620895
46.0,5.5,864.5,3.087902069091797,0.3363667659160004
47.0,5.5,864.5,3.11782169342041,0.3363667659160004
48.0,5.5,913.5,3.2035932540893555,0.36986154559606815
49.0,5.5,913.5,3.25246000289917,0.36986154559606815
50.0,5.5,937.0,3.3152964115142822,0.3857891539577754
51.0,5.5,937.0,3.3571949005126953,0.3857891539577754
52.0,5.5,912.0,3.428049325942993,0.3688418615620895
53.0,5.5,912.0,3.477910041809082,0.3688418615620895
54.0,5.0,912.0,3.535757303237915,0.3688418615620895
55.0,5.0,912.0,3.5716590881347656,0.3688418615620895
56.0,5.5,917.5,3.6314992904663086,0.372578933541661
57.0,5.5,917.5,3.6654207706451416,0.372578933541661
58.0,5.5,874.0,3.744197368621826,0.3428902466265092
59.0,5.5,874.0,3.773120403289795,0.3428902466265092
60.0,5.5,883.0,5.658433437347412,0.3490573444109684
61.0,5.5,914.5,5.6953325271606445,0.37054113399967586
62.0,5.5,914.5,5.730757236480713,0.37054113399967586
63.0,5.5,917.5,5.807737588882446,0.372578933541661
64.0,5.5,917.5,5.832746505737305,0.372578933541661
65.0,5.5,902.0,5.921510934829712,0.36203474827690235
66.0,5.5,902.0,5.950940847396851,0.36203474827690235
67.0,5.5,876.5,6.031400442123413,0.34460460569303114
68.0,5.5,876.5,6.058328151702881,0.34460460569303114
69.0,5.5,906.0,6.128221273422241,0.3647595146793335
70.0,5.5,906.0,6.1511595249176025,0.3647595146793335
71.0,5.0,950.0,6.2397496700286865,0.39456156303016904
72.0,5.0,950.0,6.2616894245147705,0.39456156303016904
73.0,5.5,906.0,6.351452827453613,0.3647595146793335
74.0,5.5,906.0,6.375391006469727,0.3647595146793335
75.0,5.5,912.0,6.463902950286865,0.3688418615620895
76.0,5.5,912.0,6.493824005126953,0.3688418615620895
77.0,5.5,903.5,6.575908899307251,0.36305683530901683
78.0,5.5,903.5,6.60084080696106,0.36305683530901683
79.0,5.5,920.0,6.671043872833252,0.37427599185084287
80.0,5.5,920.0,6.694018363952637,0.37427599185084287
81.0,5.0,1308.5,6.895382642745972,0.6249554512407631
82.0,5.0,1308.5,6.918320178985596,0.6249554512407631
83.0,5.5,845.5,7.0080790519714355,0.32327775844600887
84.0,5.5,845.5,7.030019283294678,0.32327775844600887
85.0,5.0,904.5,7.103783369064331,0.3637380269732487
86.0,5.0,904.5,7.126756191253662,0.3637380269732487
87.0,5.0,917.0,7.215862274169922,0.37223940094773483
88.0,5.0,917.0,7.24372935295105,0.37223940094773483
89.0,5.5,901.5,7.327507019042969,0.3616939727743362
90.0,5.5,901.5,7.350445508956909,0.3616939727743362
91.0,5.5,926.0,7.439731597900391,0.3783448125558298
92.0,5.5,926.0,7.463705539703369,0.3783448125558298
93.0,5.5,917.0,7.552138566970825,0.37223940094773483
94.0,5.5,917.0,7.576087236404419,0.37223940094773483
95.0,5.5,911.5,7.6484293937683105,0.3685018865531751
96.0,5.5,911.5,7.671335697174072,0.3685018865531751
97.0,5.5,917.5,7.759675025939941,0.372578933541661
98.0,5.5,917.5,7.782647609710693,0.372578933541661
99.0,7.099999904632568,838.5,7.871635437011719,0.31844148057238525
100.0,7.099999904632568,838.5,7.896567106246948,0.31844148057238525
101.0,5.5,878.0,7.983943939208984,0.3456327504004067
102.0,5.5,878.0,8.008911371231079,0.3456327504004067
103.0,5.0,936.5,8.096498489379883,0.38545120190523635
104.0,5.0,936.5,8.124458074569702,0.38545120190523635
105.0,5.0,1007.5,8.191966772079468,0.4330268942995427
106.0,5.0,1007.5,8.214903593063354,0.4330268942995427
107.0,5.5,903.5,8.308383464813232,0.36305683530901683
108.0,5.5,903.5,8.343768835067749,0.36305683530901683
109.0,5.0,841.5,8.416399717330933,0.3205150897618179
110.0,5.0,841.5,8.438984870910645,0.3205150897618179
111.0,5.5,906.0,8.528662919998169,0.3647595146793335
112.0,5.5,906.0,8.552113771438599,0.3647595146793335
113.0,5.5,886.5,8.63995623588562,0.35145221612640337
114.0,5.5,886.5,8.666916847229004,0.35145221612640337
115.0,5.5,898.0,8.735987901687622,0.35930742801698484
116.0,5.5,898.0,8.758958101272583,0.35930742801698484
117.0,5.0,1059.5,8.959387063980103,0.467331461968385
118.0,5.0,1059.5,8.98731279373169,0.467331461968385
119.0,5.5,927.5,9.072087049484253,0.37936110723696154
120.0,5.5,927.5,9.09402871131897,0.37936110723696154
121.0,5.5,953.5,9.168416023254395,0.3969186299722734
122.0,5.5,953.5,9.204319477081299,0.3969186299722734
123.0,5.5,935.5,9.280005693435669,0.38477517554303925
124.0,5.5,935.5,9.304903984069824,0.38477517554303925
125.0,5.5,906.0,9.391670942306519,0.3647595146793335
126.0,5.5,906.0,9.417604446411133,0.3647595146793335
127.0,5.5,907.5,9.487096309661865,0.3657806423325149
128.0,5.5,907.5,9.510034322738647,0.3657806423325149
129.0,5.5,879.5,9.599766969680786,0.3466605416165884
130.0,5.5,879.5,9.623701572418213,0.3466605416165884
131.0,5.5,907.5,9.696030139923096,0.3657806423325149
132.0,5.5,907.5,9.718966722488403,0.3657806423325149
133.0,5.5,938.5,9.791404485702515,0.38680276545810105
134.0,5.5,938.5,9.814377784729004,0.38680276545810105
135.0,5.5,912.0,9.887473821640015,0.3688418615620895
136.0,5.5,912.0,9.910411834716797,0.3688418615620895
137.0,5.0,902.0,10.000227212905884,0.36203474827690235
138.0,5.0,902.0,10.024170637130737,0.36203474827690235
139.0,5.0,906.0,10.096975088119507,0.3647595146793335
140.0,5.0,906.0,10.120947122573853,0.3647595146793335
141.0,5.5,910.0,10.191783905029297,0.36748172070915736
142.0,5.5,910.0,10.214723348617554,0.36748172070915736
143.0,5.5,947.5,10.287244081497192,0.39287671133401975
144.0,5.5,947.5,10.311214447021484,0.39287671133401975
145.0,5.5,912.0,10.400207281112671,0.3688418615620895
146.0,5.5,912.0,10.422148704528809,0.3688418615620895
147.0,11.0,902.5,10.495540380477905,0.36237548387538093
148.0,11.0,902.5,10.518481254577637,0.36237548387538093
149.0,5.5,908.0,10.591501235961914,0.3661209381460557
150.0,5.5,908.0,10.614473819732666,0.3661209381460557
151.0,5.5,934.0,10.704746007919312,0.3837608305361743
152.0,5.5,934.0,10.732667207717896,0.3837608305361743
153.0,5.0,850.5,10.800016641616821,0.32672763905732477
154.0,5.0,850.5,10.823952674865723,0.32672763905732477
155.0,5.5,912.0,10.89597225189209,0.3688418615620895
156.0,5.5,912.0,10.918911457061768,0.3688418615620895
157.0,5.0,972.5,10.991507053375244,0.40967884806205596
158.0,5.0,972.5,11.014480829238892,0.40967884806205596
159.0,5.5,909.0,11.103417158126831,0.36680140959104196
160.0,5.5,909.0,11.128350019454956,0.36680140959104196
161.0,5.5,934.5,11.200157880783081,0.3840989862509869
162.0,5.5,934.5,11.226086139678955,0.3840989862509869
163.0,5.0,889.0,11.300609588623047,0.35316165397841953
164.0,5.0,889.0,11.332516193389893,0.35316165397841953
165.0,11.0,934.5,11.391687631607056,0.3840989862509869
166.0,11.0,934.5,11.41466236114502,0.3840989862509869
167.0,5.5,925.5,11.503867864608765,0.37800596663962865
168.0,5.5,925.5,11.528800964355469,0.37800596663962865
169.0,5.5,908.0,11.599609851837158,0.3661209381460557
170.0,5.5,908.0,11.622549772262573,0.3661209381460557
171.0,5.5,863.0,11.695796489715576,0.335335456165804
172.0,5.5,863.0,11.718770027160645,0.335335456165804
173.0,5.5,878.5,11.790944576263428,0.3459753867670799
174.0,5.5,878.5,11.814878702163696,0.3459753867670799
175.0,5.5,912.0,11.903910875320435,0.3688418615620895
176.0,5.5,912.0,11.927846431732178,0.3688418615620895
177.0,5.0,907.5,12.000011444091797,0.3657806423325149
178.0,5.0,907.5,12.021950960159302,0.3657806423325149
179.0,5.5,885.0,12.096179008483887,0.3504260792837342
180.0,5.5,885.0,12.119077444076538,0.3504260792837342
181.0,5.5,907.5,12.207900762557983,0.3657806423325149
182.0,5.5,907.5,12.233879566192627,0.3657806423325149
